formula,prediction,density,Peak Score,index
LiB,142.292,0.198,2.275,4293
SrLi4N2,98.330,0.142,2.013,8126
Ca2MnO4,114.286,0.260,1.787,1030
CuAs,147.029,0.287,1.504,2091
LiAlPt2,143.536,0.286,1.447,4281
Cs2CrCl4,92.291,0.252,1.258,1826
TbGaRh2,149.331,0.285,1.256,8438
CaCu2O3,110.458,0.277,1.160,1177
LiLuPt2,125.391,0.193,1.144,4478
Al(SnO2)2,126.265,0.271,1.062,139
MnAlRh2,170.790,0.291,0.841,5266
Cr2FeS4,121.196,0.280,0.827,1698
Sm2Zr2O7,83.405,0.271,0.769,7608
U2CrN3,136.608,0.296,0.768,9287
CrPO4,119.482,0.267,0.758,1787
MgS,123.866,0.275,0.744,5093
Sr3MnN3,80.537,0.205,0.733,8007
SF6,67.802,0.243,0.699,7074
Rb2Cr(BrCl)2,66.876,0.254,0.596,6763
Ti2GaC,128.158,0.294,0.594,8693
Ga2CoS4,117.716,0.275,0.586,2674
LiErGe,58.347,0.154,0.503,4381
BeGaRh2,158.442,0.291,0.495,852
CeNiC2,115.726,0.281,0.480,1560
ThSiO4,103.652,0.269,0.458,8639
Sr6Sn2NO,56.997,0.166,0.446,8034
CaPd3O4,98.182,0.278,0.440,1270
LiTmIn2,73.509,0.197,0.401,4641
LiZnAu2,98.876,0.285,0.397,4682
MgSiN2,107.325,0.281,0.395,5115
YMg2,60.069,0.275,0.385,9816
Li4UO5,70.090,0.215,0.347,4204
Yb2SbAu,72.223,0.187,0.342,9975
Yb2AgSn,71.688,0.193,0.327,9954
ScNbOs2,148.423,0.290,0.314,7384
Na2Hf2O5,62.796,0.261,0.285,5475
K2SnCl6,30.420,0.261,0.214,3510
Li7Sn2,24.335,0.137,0.178,4239
HoTmMg2,75.777,0.194,0.173,3325
Ho2CF2,56.156,0.246,0.153,3185
Cs2RbInF6,42.650,0.253,0.140,1888
CrGaP2,107.751,0.285,0.137,1766
Nd(CoSi)2,91.016,0.283,0.113,5981
ErB2Rh2C,120.356,0.286,0.111,2384
RbSbO3,33.841,0.266,0.102,6979
YNiSb,63.581,0.271,0.097,9851
MnSbPd2,132.949,0.290,0.069,5373
Er2ZnRu,100.163,0.198,0.060,2366
Cs2PbCl6,24.712,0.260,0.055,1870
ErCdCu4,95.314,0.290,0.031,2394
Hf4N3,114.324,0.295,-0.031,2946
Pr(CoSi)2,85.617,0.283,-0.038,6525
Nd2CdIn,74.847,0.201,-0.043,6000
CaSmZn2,70.086,0.197,-0.047,1307
TmHfRu2,152.161,0.276,-0.048,9217
Sc2CoRu,137.666,0.291,-0.052,7168
Li3Au,21.653,0.135,-0.082,4140
Ho2Cr2C3,82.784,0.277,-0.107,3189
TbNi2,85.655,0.278,-0.116,8458
P2Pb2O7,74.811,0.270,-0.121,6298
Sm2AgSn,75.729,0.198,-0.157,7571
Rb3Mg,11.835,0.132,-0.172,6861
Ca3BiSb,37.944,0.169,-0.192,1069
Fe3Sn2,97.764,0.290,-0.222,2587
Sr(ZnGe)2,60.167,0.279,-0.224,7904
Pr2ZnHg,66.161,0.200,-0.255,6558
BaTe2,28.663,0.255,-0.269,744
ZrH3,42.784,0.249,-0.292,10471
Mn3O4,92.841,0.274,-0.332,5230
Ho(SiRu)2,91.905,0.286,-0.396,3178
NdTmTl2,51.836,0.205,-0.408,6155
BaTiS3,38.601,0.262,-0.414,751
LaCu2,69.744,0.280,-0.433,3852
Ca3Au,28.656,0.126,-0.506,1065
P3N5,60.485,0.276,-0.547,6305
LiTmHg2,46.278,0.195,-0.564,4640
AsPdSe,57.919,0.282,-0.581,352
Ni2Ge,85.427,0.290,-0.596,6171
ZrGeTe,58.573,0.287,-0.635,10467
Ba(CdAs)2,49.964,0.280,-0.644,422
CeIr2,112.377,0.280,-0.750,1545
DyCuSeO,46.516,0.274,-0.921,2242
NdBPd3,85.928,0.288,-0.974,6045
Mg(BeN)2,68.025,0.283,-0.999,4839
Sc3AlC,63.062,0.294,-1.113,7232
SmMn2O5,59.541,0.272,-1.119,7724
DyIr3,80.025,0.280,-1.121,2263
V2C,58.174,0.295,-1.150,9401
HoCd3,20.180,0.282,-1.271,3230
TbCd3,19.625,0.282,-1.287,8415
Fe2W,86.967,0.290,-1.354,2569
ZnCo3C,64.843,0.290,-1.478,10231
HfPbO3,53.554,0.272,-1.501,3060
TiBiRh,70.239,0.295,-1.507,8848
CdCl2,14.646,0.264,-1.609,1387
Sc2CdAg,80.664,0.291,-1.637,7161
TaNiGe,66.791,0.292,-1.667,8321
In2Se3,29.551,0.270,-1.713,3346
Cu3P,41.235,0.290,-1.970,2071
Sc,15.172,0.283,-3.183,7129
