formula,prediction,density,Density Score,index
SrLi4N2,98.330,0.142,2.300,8126
LiB,142.292,0.198,1.910,4293
LiLuPt2,125.391,0.193,1.786,4478
Ca3Au,28.656,0.126,1.704,1065
LiErGe,58.347,0.154,1.599,4381
Li7Sn2,24.335,0.137,1.454,4239
Li3Au,21.653,0.135,1.453,4140
Rb3Mg,11.835,0.132,1.394,6861
Sr6Sn2NO,56.997,0.166,1.379,8034
Er2ZnRu,100.163,0.198,1.376,2366
Yb2SbAu,72.223,0.187,1.222,9975
HoTmMg2,75.777,0.194,1.137,3325
Yb2AgSn,71.688,0.193,1.108,9954
Ca3BiSb,37.944,0.169,1.092,1069
Sm2AgSn,75.729,0.198,1.063,7571
LiTmIn2,73.509,0.197,1.058,4641
Sr3MnN3,80.537,0.205,1.017,8007
CaSmZn2,70.086,0.197,1.009,1307
Nd2CdIn,74.847,0.201,1.004,6000
Pr2ZnHg,66.161,0.200,0.912,6558
LiTmHg2,46.278,0.195,0.748,4640
Li4UO5,70.090,0.215,0.719,4204
TmHfRu2,152.161,0.276,0.711,9217
MnAlRh2,170.790,0.291,0.689,5266
NdTmTl2,51.836,0.205,0.646,6155
BeGaRh2,158.442,0.291,0.532,852
TbGaRh2,149.331,0.285,0.526,8438
Ca2MnO4,114.286,0.260,0.498,1030
Al(SnO2)2,126.265,0.271,0.466,139
CuAs,147.029,0.287,0.463,2091
CrPO4,119.482,0.267,0.446,1787
ScNbOs2,148.423,0.290,0.430,7384
LiAlPt2,143.536,0.286,0.426,4281
Cs2CrCl4,92.291,0.252,0.368,1826
MgS,123.866,0.275,0.361,5093
Ga2CoS4,117.716,0.275,0.287,2674
Sc2CoRu,137.666,0.291,0.275,7168
Cr2FeS4,121.196,0.280,0.253,1698
MnSbPd2,132.949,0.290,0.226,5373
ThSiO4,103.652,0.269,0.213,8639
SF6,67.802,0.243,0.208,7074
U2CrN3,136.608,0.296,0.180,9287
CaCu2O3,110.458,0.277,0.165,1177
CeNiC2,115.726,0.281,0.165,1560
CeIr2,112.377,0.280,0.146,1545
ErB2Rh2C,120.356,0.286,0.140,2384
Ti2GaC,128.158,0.294,0.097,8693
MgSiN2,107.325,0.281,0.051,5115
Rb2Cr(BrCl)2,66.876,0.254,0.009,6763
Ho2CF2,56.156,0.246,0.003,3185
CaPd3O4,98.182,0.278,-0.003,1270
CrGaP2,107.751,0.285,-0.004,1766
Mn3O4,92.841,0.274,-0.006,5230
Sm2Zr2O7,83.405,0.271,-0.065,7608
Hf4N3,114.324,0.295,-0.090,2946
LiZnAu2,98.876,0.285,-0.112,4682
TbNi2,85.655,0.278,-0.155,8458
P2Pb2O7,74.811,0.270,-0.159,6298
Na2Hf2O5,62.796,0.261,-0.167,5475
Ho2Cr2C3,82.784,0.277,-0.178,3189
Nd(CoSi)2,91.016,0.283,-0.186,5981
ZrH3,42.784,0.249,-0.209,10471
Ho(SiRu)2,91.905,0.286,-0.216,3178
Fe3Sn2,97.764,0.290,-0.219,2587
ErCdCu4,95.314,0.290,-0.252,2394
Pr(CoSi)2,85.617,0.283,-0.256,6525
DyIr3,80.025,0.280,-0.269,2263
Cs2RbInF6,42.650,0.253,-0.279,1888
YNiSb,63.581,0.271,-0.321,9851
NdBPd3,85.928,0.288,-0.331,6045
Fe2W,86.967,0.290,-0.356,2569
Ni2Ge,85.427,0.290,-0.368,6171
SmMn2O5,59.541,0.272,-0.395,7724
LaCu2,69.744,0.280,-0.401,3852
YMg2,60.069,0.275,-0.437,9816
P3N5,60.485,0.276,-0.446,6305
Sc2CdAg,80.664,0.291,-0.452,7161
HfPbO3,53.554,0.272,-0.460,3060
Mg(BeN)2,68.025,0.283,-0.468,4839
BaTiS3,38.601,0.262,-0.476,751
BaTe2,28.663,0.255,-0.490,744
Sr(ZnGe)2,60.167,0.279,-0.496,7904
K2SnCl6,30.420,0.261,-0.569,3510
AsPdSe,57.919,0.282,-0.582,352
DyCuSeO,46.516,0.274,-0.584,2242
RbSbO3,33.841,0.266,-0.605,6979
Cs2PbCl6,24.712,0.260,-0.615,1870
ZnCo3C,64.843,0.290,-0.635,10231
Ba(CdAs)2,49.964,0.280,-0.638,422
TiBiRh,70.239,0.295,-0.640,8848
TaNiGe,66.791,0.292,-0.643,8321
ZrGeTe,58.573,0.287,-0.664,10467
Sc3AlC,63.062,0.294,-0.718,7232
In2Se3,29.551,0.270,-0.726,3346
V2C,58.174,0.295,-0.799,9401
CdCl2,14.646,0.264,-0.817,1387
Cu3P,41.235,0.290,-0.922,2071
HoCd3,20.180,0.282,-1.052,3230
TbCd3,19.625,0.282,-1.064,8415
Sc,15.172,0.283,-1.127,7129
