formula,Density Score,Peak Score
SrLi4N2,2.300,2.013
LiB,1.910,2.275
LiLuPt2,1.786,1.144
Ca3Au,1.704,-0.506
LiErGe,1.599,0.503
Li7Sn2,1.454,0.178
Li3Au,1.453,-0.082
Rb3Mg,1.394,-0.172
Sr6Sn2NO,1.379,0.446
Er2ZnRu,1.376,0.060
Yb2SbAu,1.222,0.342
HoTmMg2,1.137,0.173
Yb2AgSn,1.108,0.327
Ca3BiSb,1.092,-0.192
Sm2AgSn,1.063,-0.157
LiTmIn2,1.058,0.401
Sr3MnN3,1.017,0.733
CaSmZn2,1.009,-0.047
Nd2CdIn,1.004,-0.043
Pr2ZnHg,0.912,-0.255
LiTmHg2,0.748,-0.564
Li4UO5,0.719,0.347
TmHfRu2,0.711,-0.048
MnAlRh2,0.689,0.841
NdTmTl2,0.646,-0.408
BeGaRh2,0.532,0.495
TbGaRh2,0.526,1.256
Ca2MnO4,0.498,1.787
Al(SnO2)2,0.466,1.062
CuAs,0.463,1.504
CrPO4,0.446,0.758
ScNbOs2,0.430,0.314
LiAlPt2,0.426,1.447
Cs2CrCl4,0.368,1.258
MgS,0.361,0.744
Ga2CoS4,0.287,0.586
Sc2CoRu,0.275,-0.052
Cr2FeS4,0.253,0.827
MnSbPd2,0.226,0.069
ThSiO4,0.213,0.458
SF6,0.208,0.699
U2CrN3,0.180,0.768
CaCu2O3,0.165,1.160
CeNiC2,0.165,0.480
CeIr2,0.146,-0.750
ErB2Rh2C,0.140,0.111
Ti2GaC,0.097,0.594
MgSiN2,0.051,0.395
Rb2Cr(BrCl)2,0.009,0.596
Ho2CF2,0.003,0.153
CaPd3O4,-0.003,0.440
CrGaP2,-0.004,0.137
Mn3O4,-0.006,-0.332
Sm2Zr2O7,-0.065,0.769
Hf4N3,-0.090,-0.031
LiZnAu2,-0.112,0.397
TbNi2,-0.155,-0.116
P2Pb2O7,-0.159,-0.121
Na2Hf2O5,-0.167,0.285
Ho2Cr2C3,-0.178,-0.107
Nd(CoSi)2,-0.186,0.113
ZrH3,-0.209,-0.292
Ho(SiRu)2,-0.216,-0.396
Fe3Sn2,-0.219,-0.222
ErCdCu4,-0.252,0.031
Pr(CoSi)2,-0.256,-0.038
DyIr3,-0.269,-1.121
Cs2RbInF6,-0.279,0.140
YNiSb,-0.321,0.097
NdBPd3,-0.331,-0.974
Fe2W,-0.356,-1.354
Ni2Ge,-0.368,-0.596
SmMn2O5,-0.395,-1.119
LaCu2,-0.401,-0.433
YMg2,-0.437,0.385
P3N5,-0.446,-0.547
Sc2CdAg,-0.452,-1.637
HfPbO3,-0.460,-1.501
Mg(BeN)2,-0.468,-0.999
BaTiS3,-0.476,-0.414
BaTe2,-0.490,-0.269
Sr(ZnGe)2,-0.496,-0.224
K2SnCl6,-0.569,0.214
AsPdSe,-0.582,-0.581
DyCuSeO,-0.584,-0.921
RbSbO3,-0.605,0.102
Cs2PbCl6,-0.615,0.055
ZnCo3C,-0.635,-1.478
Ba(CdAs)2,-0.638,-0.644
TiBiRh,-0.640,-1.507
TaNiGe,-0.643,-1.667
ZrGeTe,-0.664,-0.635
Sc3AlC,-0.718,-1.113
In2Se3,-0.726,-1.713
V2C,-0.799,-1.150
CdCl2,-0.817,-1.609
Cu3P,-0.922,-1.970
HoCd3,-1.052,-1.271
TbCd3,-1.064,-1.287
Sc,-1.127,-3.183
