formula,prediction,density,Density Score,index
SrLi4N2,86.305,0.142,2.275,8126
LiLuPt2,114.197,0.180,2.057,4478
Ca3Au,42.036,0.122,1.943,1065
LiB,128.929,0.203,1.888,4293
Er2ZnRu,99.850,0.186,1.745,2366
Li3Au,33.729,0.129,1.696,4140
LiErGe,56.670,0.151,1.680,4381
Yb2SbAu,83.089,0.181,1.576,9975
Rb3Mg,23.859,0.128,1.562,6861
Yb2AgSn,83.040,0.183,1.535,9954
Li7Sn2,27.148,0.133,1.534,4239
HoTmMg2,85.248,0.188,1.485,3325
Sm2AgSn,85.869,0.189,1.478,7571
Nd2CdIn,84.317,0.192,1.414,6000
CaSmZn2,82.083,0.190,1.409,1307
Sr6Sn2NO,50.487,0.162,1.396,8034
LiTmIn2,83.986,0.194,1.368,4641
Pr2ZnHg,78.064,0.191,1.330,6558
Ca3BiSb,32.939,0.163,1.122,1069
NdTmTl2,64.378,0.193,1.093,6155
LiTmHg2,60.299,0.192,1.048,4640
Sr3MnN3,76.939,0.208,1.020,8007
Li4UO5,69.000,0.212,0.836,4204
MnAlRh2,137.061,0.290,0.557,5266
LiAlPt2,123.586,0.278,0.553,4281
MgS,119.968,0.275,0.549,5093
CuAs,131.939,0.287,0.539,2091
TmHfRu2,127.315,0.284,0.508,9217
Ca2MnO4,95.691,0.257,0.493,1030
TbGaRh2,126.030,0.285,0.487,8438
BeGaRh2,130.518,0.290,0.457,852
SF6,65.783,0.233,0.443,7074
ScNbOs2,125.228,0.287,0.430,7384
Cs2CrCl4,77.763,0.249,0.357,1826
Al(SnO2)2,100.924,0.271,0.333,139
Sc2CoRu,119.275,0.289,0.311,7168
MnSbPd2,117.842,0.290,0.279,5373
CaCu2O3,97.576,0.272,0.267,1177
MgSiN2,104.296,0.279,0.250,5115
Ga2CoS4,95.500,0.271,0.246,2674
CeNiC2,109.618,0.284,0.243,1560
U2CrN3,110.245,0.288,0.193,9287
CaPd3O4,93.365,0.273,0.192,1270
Ti2GaC,114.697,0.292,0.185,8693
LiZnAu2,100.094,0.280,0.175,4682
CrPO4,85.389,0.267,0.174,1787
CrGaP2,104.801,0.285,0.164,1766
Cr2FeS4,97.866,0.279,0.157,1698
Rb2Cr(BrCl)2,63.596,0.248,0.153,6763
Mn3O4,81.568,0.273,0.002,5230
ThSiO4,77.977,0.270,-0.002,8639
ErB2Rh2C,92.593,0.285,-0.017,2384
Ho2CF2,46.587,0.247,-0.079,3185
Sm2Zr2O7,68.442,0.267,-0.089,7608
Ho2Cr2C3,76.976,0.276,-0.118,3189
Hf4N3,92.185,0.293,-0.157,2946
Sc2CdAg,88.367,0.289,-0.159,7161
Na2Hf2O5,55.206,0.260,-0.175,5475
CeIr2,82.944,0.285,-0.175,1545
P2Pb2O7,61.947,0.267,-0.181,6298
YNiSb,62.519,0.271,-0.241,9851
Cs2RbInF6,35.548,0.247,-0.249,1888
DyIr3,77.062,0.285,-0.257,2263
ZrH3,50.260,0.263,-0.298,10471
Ho(SiRu)2,70.240,0.281,-0.300,3178
Nd(CoSi)2,69.994,0.282,-0.321,5981
SmMn2O5,59.751,0.274,-0.329,7724
DyCuSeO,56.549,0.272,-0.344,2242
TbNi2,65.653,0.280,-0.345,8458
Pr(CoSi)2,67.877,0.283,-0.356,6525
ErCdCu4,75.028,0.290,-0.369,2394
P3N5,55.863,0.273,-0.381,6305
Fe3Sn2,74.294,0.290,-0.383,2587
RbSbO3,26.385,0.248,-0.401,6979
K2SnCl6,25.614,0.250,-0.445,3510
BaTe2,26.183,0.251,-0.464,744
Cs2PbCl6,20.238,0.248,-0.496,1870
BaTiS3,31.073,0.258,-0.499,751
Fe2W,64.893,0.288,-0.501,2569
AsPdSe,56.262,0.281,-0.504,352
Sr(ZnGe)2,53.285,0.278,-0.505,7904
Mg(BeN)2,56.079,0.281,-0.509,4839
TiBiRh,68.947,0.293,-0.514,8848
YMg2,50.869,0.277,-0.522,9816
TaNiGe,65.335,0.291,-0.531,8321
Ni2Ge,64.471,0.290,-0.538,6171
HfPbO3,41.409,0.271,-0.569,3060
NdBPd3,58.452,0.287,-0.574,6045
LaCu2,56.270,0.285,-0.575,3852
ZrGeTe,57.001,0.287,-0.590,10467
Ba(CdAs)2,43.840,0.279,-0.653,422
In2Se3,29.837,0.269,-0.712,3346
Cu3P,49.656,0.290,-0.749,2071
ZnCo3C,45.532,0.290,-0.819,10231
Sc3AlC,46.802,0.292,-0.836,7232
HoCd3,31.454,0.280,-0.865,3230
CdCl2,11.854,0.264,-0.888,1387
V2C,43.881,0.293,-0.898,9401
TbCd3,31.292,0.282,-0.900,8415
Sc,21.219,0.279,-1.008,7129
