rank	symbol	date	day_1	day_2	day_5	score	shortname
0	300059.SZ	2022-02-18	0.31633	0.25654	0.33845	0.30377	east_money_informa
1	600000.SS	2022-02-18	0.08661	0.22932	0.27830	0.19808	shanghai_pudong_development_ban
2	000100.SZ	2022-02-18	-0.00479	0.18049	0.39805	0.19125	tcl_technology_gro
3	000725.SZ	2022-02-18	-0.05612	0.08444	0.30697	0.11177	boe_technology_gp
4	601899.SS	2022-02-18	0.02999	-0.12204	-0.07993	-0.05733	zijin_mining_group_co.ltd
5	600660.SS	2022-02-18	-0.03865	-0.05793	-0.11755	-0.07138	fuyao_glass_industry_group_co._
6	000001.SZ	2022-02-18	-0.15184	-0.11952	0.03714	-0.07807	ping_an_bank
7	601888.SS	2022-02-18	-0.24316	-0.09178	0.08825	-0.08223	china_tourism_group_duty_free_c
8	000333.SZ	2022-02-18	-0.19182	-0.09822	0.01968	-0.09012	midea_group_co_ltd
9	002594.SZ	2022-02-18	-0.15246	-0.18264	0.01560	-0.10650	byd_company_ltd
10	688256.SS	2022-02-18	-0.20731	-0.16895	-0.12684	-0.16770	cambricon_technologies_corporat
11	601111.SS	2022-02-18	-0.22278	-0.13423	-0.37418	-0.24373	air_china_ltd
12	601168.SS	2022-02-18	-0.23155	-0.24236	-0.30684	-0.26025	western_mining_co._ltd.
13	002415.SZ	2022-02-18	-0.17811	-0.29589	-0.32222	-0.26541	hangzhou_hikvision
14	601318.SS	2022-02-18	-0.47635	-0.20112	-0.21172	-0.29639	ping_an_insurance(group)co.of_c
15	601668.SS	2022-02-18	-0.35101	-0.25029	-0.47389	-0.35840	china_construction_engineering_
16	600196.SS	2022-02-18	-0.35709	-0.41891	-0.44067	-0.40556	shanghai_fosun_pharmaceutical_g
17	002460.SZ	2022-02-18	-0.38276	-0.58349	-1.12363	-0.69663	ganfeng_lithium_co
18	600111.SS	2022-02-18	-0.71676	-0.80183	-1.19688	-0.90515	china_nthn_rare_earth_(gp)_hi-t
19	002466.SZ	2022-02-18	-1.01905	-0.86670	-1.29983	-1.06186	tianqi_lithium_cor
